health_region_code,band,person_years,deaths
22002,2,47326,1
22002,3,51751,5
22002,4,47207,5
22002,5,42623,13
22002,6,41356,5
22002,7,43098,1
22002,8,41252,5
22002,9,34535,4
22002,10,28449,8
22002,11,26641,3
22002,12,22593,3
22002,13,18438,3
22002,14,14342,3
22002,15,10380,2
22002,16,12303,3
22003,0,84047,0
22003,1,90244,0
22003,2,94711,1
22003,3,103307,12
22003,4,99797,15
22003,5,93623,14
22003,6,94827,20
22003,7,97845,19
22003,8,89286,9
22003,9,75362,7
22003,10,64646,10
22003,11,61066,15
22003,12,52357,4
22003,13,42756,1
22003,14,34281,7
22003,15,24693,0
22003,16,30611,3
22004,0,253120,0
22004,1,266717,0
22004,2,269557,3
22004,3,293849,12
22004,4,314610,30
22004,5,304060,47
22004,6,305025,43
22004,7,319928,30
22004,8,305190,29
22004,9,254883,29
22004,10,218079,37
22004,11,201367,26
22004,12,170194,17
22004,13,134161,13
22004,14,101096,10
22004,15,68732,14
22004,16,80716,12
22005,0,62023,0
22005,1,63108,0
22005,2,64921,0
22005,3,72868,3
22005,4,74702,6
22005,5,72473,10
22005,6,71542,11
22005,7,73096,9
22005,8,68892,4
22005,9,58380,1
22005,10,50290,8
22005,11,45868,6
22005,12,36135,4
22005,13,28561,5
22005,14,22836,2
22005,15,16171,3
22005,16,19033,3
22006,0,33708,0
22006,1,34746,0
22006,2,35947,0
22006,3,39343,3
22006,4,38946,10
22006,5,36895,2
22006,6,36127,5
22006,7,37173,8
22006,8,36343,3
22006,9,31430,6
22006,10,27076,5
22006,11,25071,2
22006,12,20740,3
22006,13,15527,4
22006,14,12631,4
22006,15,10003,2
22006,16,11772,3
22007,0,13320,0
22007,1,13552,0
22007,2,13414,0
22007,3,14401,0
22007,4,13767,0
22007,5,13411,3
22007,6,13023,2
22007,7,12848,1
22007,8,11205,1
22007,9,8756,0
22007,10,7478,1
22007,11,6996,2
22007,12,5696,0
22007,13,4570,2
22007,14,3378,2
22007,15,2468,0
22007,16,2766,0
22008,0,20475,0
22008,1,21661,0
22008,2,23616,2
22008,3,26460,2
22008,4,25246,3
22008,5,23210,3
22008,6,23144,4
22008,7,24733,6
22008,8,24561,5
22008,9,22373,4
22008,10,19631,2
22008,11,18396,7
22008,12,15613,1
22008,13,12356,2
